Word=Confidence Pos=NN StartS=t I

Word=Kajima Pos=NNP StartS=t I
Word=advanced Pos=VBD PPos=NNP StartS=f O
Word=40 Pos=CD PPos=VBD StartS=f I
Word=to Pos=TO PPos=CD StartS=f O
Word=2,120 Pos=CD PPos=TO StartS=f I
Word=and Pos=CC PPos=CD StartS=f O
Word=Ohbayashi Pos=NNP PPos=CC StartS=f I
Word=added Pos=VBD PPos=NNP StartS=f O
Word=50 Pos=CD PPos=VBD StartS=f I
Word=to Pos=TO PPos=CD StartS=f O
Word=1,730 Pos=CD PPos=TO StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Fujisawa Pos=NNP StartS=t I
Word=added Pos=VBD PPos=NNP StartS=f O
Word=80 Pos=CD PPos=VBD StartS=f I
Word=to Pos=TO PPos=CD StartS=f O
Word=2,010 Pos=CD PPos=TO StartS=f I
Word=and Pos=CC PPos=CD StartS=f O
Word=Mochida Pos=NNP PPos=CC StartS=f I
Word=advanced Pos=VBD PPos=NNP StartS=f O
Word=230 Pos=CD PPos=VBD StartS=f I
Word=to Pos=TO PPos=CD StartS=f O
Word=4,400 Pos=CD PPos=TO StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=London Pos=JJ StartS=t I
Word=share Pos=NN PPos=JJ StartS=f I
Word=prices Pos=NNS PPos=NN StartS=f I
Word=were Pos=VBD PPos=NNS StartS=f O
Word=influenced Pos=VBN PPos=VBD StartS=f O
Word=largely Pos=RB PPos=VBN StartS=f O
Word=by Pos=IN PPos=RB StartS=f O
Word=declines Pos=NNS PPos=IN StartS=f I
Word=on Pos=IN PPos=NNS StartS=f O
Word=Wall Pos=NNP PPos=IN StartS=f I
Word=Street Pos=NNP PPos=NNP StartS=f I
Word=and Pos=CC PPos=NNP StartS=f O
Word=weakness Pos=NN PPos=CC StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=British Pos=JJ PPos=DT StartS=f I
Word=pound Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=The Pos=DT StartS=t I
Word=key Pos=JJ PPos=DT StartS=f I
Word=Financial Pos=NNP PPos=JJ StartS=f I
Word=Times-Stock Pos=NNP PPos=NNP StartS=f I
Word=Exchange Pos=NNP PPos=NNP StartS=f I
Word=100-share Pos=JJ PPos=NNP StartS=f I
Word=index Pos=NN PPos=JJ StartS=f I
Word=ended Pos=VBD PPos=NN StartS=f O
Word=10.2 Pos=CD PPos=VBD StartS=f I
Word=points Pos=NNS PPos=CD StartS=f I
Word=lower Pos=JJR PPos=NNS StartS=f O
Word=at Pos=IN PPos=JJR StartS=f O
Word=2179.1 Pos=CD PPos=IN StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=above Pos=IN PPos=, StartS=f O
Word=its Pos=PRP$ PPos=IN StartS=f I
Word=intraday Pos=JJ PPos=PRP$ StartS=f I
Word=low Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=2176.9 Pos=CD PPos=IN StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=but Pos=CC PPos=, StartS=f O
Word=off Pos=IN PPos=CC StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=day Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f I
Word=high Pos=NN PPos=POS StartS=f O
Word=of Pos=IN PPos=NN StartS=f O
Word=2189 Pos=CD PPos=IN StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=The Pos=DT StartS=t I
Word=index Pos=NN PPos=DT StartS=f I
Word=finished Pos=VBD PPos=NN StartS=f O
Word=2.4 Pos=CD PPos=VBD StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=under Pos=IN PPos=NN StartS=f O
Word=its Pos=PRP$ PPos=IN StartS=f I
Word=close Pos=NN PPos=PRP$ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=2233.9 Pos=CD PPos=IN StartS=f I
Word=the Pos=DT PPos=CD StartS=f B
Word=previous Pos=JJ PPos=DT StartS=f I
Word=Friday Pos=NNP PPos=JJ StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=although Pos=IN PPos=, StartS=f O
Word=it Pos=PRP PPos=IN StartS=f I
Word=recouped Pos=VBD PPos=PRP StartS=f O
Word=some Pos=DT PPos=VBD StartS=f I
Word=of Pos=IN PPos=DT StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=sharp Pos=JJ PPos=DT StartS=f I
Word=losses Pos=NNS PPos=JJ StartS=f I
Word=staged Pos=VBD PPos=NNS StartS=f O
Word=early Pos=JJ PPos=VBD StartS=f I
Word=last Pos=JJ PPos=JJ StartS=f I
Word=week Pos=NN PPos=JJ StartS=f I
Word=on Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=back Pos=RB PPos=DT StartS=f I
Word=of Pos=IN PPos=RB StartS=f O
Word=Wall Pos=NNP PPos=IN StartS=f I
Word=Street Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=fall Pos=NN PPos=POS StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=London Pos=NNP StartS=t I
Word=was Pos=VBD PPos=NNP StartS=f O
Word=weak Pos=JJ PPos=VBD StartS=f O
Word=throughout Pos=IN PPos=JJ StartS=f O
Word=Friday Pos=NNP PPos=IN StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=trading Pos=NN PPos=POS StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=however Pos=RB PPos=, StartS=f O
Word=, Pos=, PPos=RB StartS=f O
Word=on Pos=IN PPos=, StartS=f O
Word=what Pos=WP PPos=IN StartS=f I
Word=dealers Pos=NNS PPos=WP StartS=f B
Word=attributed Pos=VBD PPos=NNS StartS=f O
Word=to Pos=TO PPos=VBD StartS=f O
Word=generally Pos=RB PPos=TO StartS=f I
Word=thin Pos=JJ PPos=RB StartS=f I
Word=interest Pos=NN PPos=JJ StartS=f I
Word=ahead Pos=RB PPos=NN StartS=f O
Word=of Pos=IN PPos=RB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=weekend Pos=NN PPos=DT StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=this Pos=DT PPos=CC StartS=f I
Word=week Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f I
Word=potentially Pos=RB PPos=POS StartS=f O
Word=important Pos=JJ PPos=RB StartS=f O
Word=U.K. Pos=NNP PPos=JJ StartS=f O
Word=trade Pos=NN PPos=NNP StartS=f O
Word=figures Pos=NNS PPos=NN StartS=f O
Word=for Pos=IN PPos=NNS StartS=f O
Word=September Pos=NNP PPos=IN StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=The Pos=DT StartS=t I
Word=FT-SE Pos=NNP PPos=DT StartS=f I
Word=100 Pos=CD PPos=NNP StartS=f I
Word=largely Pos=RB PPos=CD StartS=f O
Word=remained Pos=VBD PPos=RB StartS=f O
Word=within Pos=IN PPos=VBD StartS=f O
Word=an Pos=DT PPos=IN StartS=f I
Word=11-point Pos=JJ PPos=DT StartS=f I
Word=range Pos=NN PPos=JJ StartS=f I
Word=establshed Pos=VBN PPos=NN StartS=f O
Word=within Pos=IN PPos=VBN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=first Pos=JJ PPos=DT StartS=f I
Word=hour Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=trading Pos=NN PPos=IN StartS=f I
Word=before Pos=IN PPos=NN StartS=f O
Word=it Pos=PRP PPos=IN StartS=f I
Word=eased Pos=VBD PPos=PRP StartS=f O
Word=to Pos=TO PPos=VBD StartS=f O
Word=an Pos=DT PPos=TO StartS=f I
Word=intraday Pos=JJ PPos=DT StartS=f I
Word=low Pos=JJ PPos=JJ StartS=f I
Word=late Pos=RB PPos=JJ StartS=f O
Word=in Pos=IN PPos=RB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=session Pos=NN PPos=DT StartS=f I
Word=when Pos=WRB PPos=NN StartS=f O
Word=a Pos=DT PPos=WRB StartS=f I
Word=flurry Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=program Pos=NN PPos=IN StartS=f I
Word=selling Pos=VBG PPos=NN StartS=f I
Word=pushed Pos=VBN PPos=VBG StartS=f O
Word=Wall Pos=NNP PPos=VBN StartS=f I
Word=Street Pos=NNP PPos=NNP StartS=f I
Word=lower Pos=JJR PPos=NNP StartS=f O
Word=. Pos=. PPos=JJR StartS=f O

Word=The Pos=DT StartS=t I
Word=FT Pos=NNP PPos=DT StartS=f I
Word=30-share Pos=JJ PPos=NNP StartS=f I
Word=index Pos=NN PPos=JJ StartS=f I
Word=closed Pos=VBD PPos=NN StartS=f O
Word=11.0 Pos=CD PPos=VBD StartS=f I
Word=points Pos=NNS PPos=CD StartS=f I
Word=lower Pos=JJR PPos=NNS StartS=f O
Word=at Pos=IN PPos=JJR StartS=f O
Word=1761.0 Pos=CD PPos=IN StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Volume Pos=NN StartS=t I
Word=was Pos=VBD PPos=NN StartS=f O
Word=extremely Pos=RB PPos=VBD StartS=f O
Word=thin Pos=JJ PPos=RB StartS=f O
Word=at Pos=IN PPos=JJ StartS=f O
Word=351.3 Pos=CD PPos=IN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=lightest Pos=JJS PPos=DT StartS=f I
Word=volume Pos=NN PPos=JJS StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=week Pos=NN PPos=DT StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=modestly Pos=RB PPos=CC StartS=f O
Word=under Pos=IN PPos=RB StartS=f O
Word=Thursday Pos=NNP PPos=IN StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=387.4 Pos=CD PPos=POS StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Dealers Pos=NNS StartS=t I
Word=said Pos=VBD PPos=NNS StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=day Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=action Pos=NN PPos=POS StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=featureless Pos=JJ PPos=VBD StartS=f O
Word=outside Pos=IN PPos=JJ StartS=f O
Word=some Pos=DT PPos=IN StartS=f I
Word=response Pos=NN PPos=DT StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=sterling Pos=NN PPos=TO StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=early Pos=JJ PPos=POS StartS=f I
Word=weakness Pos=NN PPos=JJ StartS=f I
Word=against Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=mark Pos=NN PPos=DT StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=and Pos=CC PPos=, StartS=f O
Word=fears Pos=NNS PPos=CC StartS=f I
Word=that Pos=IN PPos=NNS StartS=f O
Word=Wall Pos=NNP PPos=IN StartS=f I
Word=Street Pos=NNP PPos=NNP StartS=f I
Word=might Pos=MD PPos=NNP StartS=f O
Word=open Pos=RB PPos=MD StartS=f O
Word=lower Pos=JJR PPos=RB StartS=f O
Word=after Pos=IN PPos=JJR StartS=f O
Word=its Pos=PRP$ PPos=IN StartS=f I
Word=strong Pos=JJ PPos=PRP$ StartS=f I
Word=leap Pos=NN PPos=JJ StartS=f I
Word=forward Pos=RB PPos=NN StartS=f O
Word=Thursday Pos=NNP PPos=RB StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=They Pos=PRP StartS=t I
Word=added Pos=VBD PPos=PRP StartS=f O
Word=that Pos=IN PPos=VBD StartS=f O
Word=market-makers Pos=NNS PPos=IN StartS=f I
Word=were Pos=VBD PPos=NNS StartS=f O
Word=largely Pos=RB PPos=VBD StartS=f O
Word=sidelined Pos=VBN PPos=RB StartS=f O
Word=after Pos=IN PPos=VBN StartS=f O
Word=aggressively Pos=RB PPos=IN StartS=f O
Word=supporting Pos=VBG PPos=RB StartS=f O
Word=the Pos=DT PPos=VBG StartS=f I
Word=market Pos=NN PPos=DT StartS=f I
Word=Thursday Pos=NNP PPos=NN StartS=f B
Word=in Pos=IN PPos=NNP StartS=f O
Word=their Pos=PRP$ PPos=IN StartS=f I
Word=quest Pos=NN PPos=PRP$ StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=cover Pos=VB PPos=TO StartS=f O
Word=internal Pos=JJ PPos=VB StartS=f I
Word=shortages Pos=NNS PPos=JJ StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=FT-SE Pos=NNP PPos=IN StartS=f I
Word=100 Pos=CD PPos=NNP StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Interest Pos=NN StartS=t I
Word=may Pos=MD PPos=NN StartS=f O
Word=remain Pos=VB PPos=MD StartS=f O
Word=limited Pos=JJ PPos=VB StartS=f O
Word=into Pos=IN PPos=JJ StartS=f O
Word=tomorrow Pos=NN PPos=IN StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=U.K. Pos=NNP PPos=POS StartS=f I
Word=trade Pos=NN PPos=NNP StartS=f I
Word=figures Pos=NNS PPos=NN StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=which Pos=WDT PPos=, StartS=f I
Word=the Pos=DT PPos=WDT StartS=f B
Word=market Pos=NN PPos=DT StartS=f I
Word=will Pos=MD PPos=NN StartS=f O
Word=be Pos=VB PPos=MD StartS=f O
Word=watching Pos=VBG PPos=VB StartS=f O
Word=closely Pos=RB PPos=VBG StartS=f O
Word=to Pos=TO PPos=RB StartS=f O
Word=see Pos=VB PPos=TO StartS=f O
Word=if Pos=IN PPos=VB StartS=f O
Word=there Pos=EX PPos=IN StartS=f I
Word=is Pos=VBZ PPos=EX StartS=f O
Word=any Pos=DT PPos=VBZ StartS=f I
Word=improvement Pos=NN PPos=DT StartS=f I
Word=after Pos=IN PPos=NN StartS=f O
Word=disappointing Pos=JJ PPos=IN StartS=f I
Word=numbers Pos=NNS PPos=JJ StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=previous Pos=JJ PPos=DT StartS=f I
Word=two Pos=CD PPos=JJ StartS=f I
Word=months Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=The Pos=DT StartS=t I
Word=key Pos=JJ PPos=DT StartS=f I
Word=corporate Pos=JJ PPos=JJ StartS=f I
Word=news Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=day Pos=NN PPos=DT StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=that Pos=IN PPos=VBD StartS=f O
Word=British Pos=JJ PPos=IN StartS=f I
Word=Airways Pos=NNPS PPos=JJ StartS=f I
Word=decided Pos=VBD PPos=NNPS StartS=f O
Word=to Pos=TO PPos=VBD StartS=f O
Word=withdraw Pos=VB PPos=TO StartS=f O
Word=from Pos=IN PPos=VB StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=management-led Pos=JJ PPos=DT StartS=f I
Word=bid Pos=NN PPos=JJ StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=UAL Pos=NNP PPos=IN StartS=f I
Word=Corp. Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=parent Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=United Pos=NNP PPos=IN StartS=f I
Word=Airlines Pos=NNPS PPos=NNP StartS=f I
Word=. Pos=. PPos=NNPS StartS=f O

Word=British Pos=JJ StartS=t I
Word=Airways Pos=NNPS PPos=JJ StartS=f I
Word=rose Pos=VBD PPos=NNPS StartS=f O
Word=initially Pos=RB PPos=VBD StartS=f O
Word=after Pos=IN PPos=RB StartS=f O
Word=announcing Pos=VBG PPos=IN StartS=f O
Word=its Pos=PRP$ PPos=VBG StartS=f I
Word=withdrawal Pos=NN PPos=PRP$ StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=UAL Pos=NNP PPos=DT StartS=f I
Word=deal Pos=NN PPos=NNP StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Dealers Pos=NNS StartS=t I
Word=said Pos=VBD PPos=NNS StartS=f O
Word=they Pos=PRP PPos=VBD StartS=f I
Word=viewed Pos=VBD PPos=PRP StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=initial Pos=JJ PPos=DT StartS=f I
Word=# Pos=# PPos=JJ StartS=f I
Word=390-million Pos=CD PPos=# StartS=f I
Word=-LRB- Pos=( PPos=CD StartS=f I
Word=$ Pos=$ PPos=( StartS=f I
Word=622 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=-RRB- Pos=) PPos=CD StartS=f I
Word=outlay Pos=NN PPos=) StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=15 Pos=CD PPos=DT StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=stake Pos=NN PPos=NN StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=airline Pos=NN PPos=DT StartS=f I
Word=as Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=bit Pos=NN PPos=DT StartS=f I
Word=much Pos=JJ PPos=NN StartS=f I
Word=. Pos=. PPos=JJ StartS=f O

Word=Its Pos=PRP$ StartS=t I
Word=shares Pos=NNS PPos=PRP$ StartS=f I
Word=slid Pos=VBD PPos=NNS StartS=f O
Word=in Pos=IN PPos=VBD StartS=f O
Word=late Pos=JJ PPos=IN StartS=f I
Word=dealings Pos=NNS PPos=JJ StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=close Pos=VB PPos=TO StartS=f O
Word=a Pos=DT PPos=VB StartS=f I
Word=penny Pos=NN PPos=DT StartS=f I
Word=per Pos=IN PPos=NN StartS=f O
Word=share Pos=NN PPos=IN StartS=f I
Word=lower Pos=JJR PPos=NN StartS=f O
Word=at Pos=IN PPos=JJR StartS=f O
Word=197 Pos=CD PPos=IN StartS=f I
Word=pence Pos=NN PPos=CD StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=The Pos=DT StartS=t I
Word=airline Pos=NN PPos=DT StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=most Pos=RBS PPos=DT StartS=f I
Word=active Pos=JJ PPos=RBS StartS=f I
Word=FT-SE Pos=NNP PPos=JJ StartS=f I
Word=100 Pos=CD PPos=NNP StartS=f I
Word=at Pos=IN PPos=CD StartS=f O
Word=8.2 Pos=CD PPos=IN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=traded Pos=VBN PPos=NNS StartS=f O
Word=. Pos=. PPos=VBN StartS=f O

Word=The Pos=DT StartS=t I
Word=next Pos=JJ PPos=DT StartS=f I
Word=most Pos=RBS PPos=JJ StartS=f I
Word=active Pos=JJ PPos=RBS StartS=f I
Word=top-tier Pos=JJ PPos=JJ StartS=f I
Word=stock Pos=NN PPos=JJ StartS=f I
Word=was Pos=VBD PPos=NN StartS=f O
Word=B.A.T Pos=NNP PPos=VBD StartS=f I
Word=Industries Pos=NNPS PPos=NNP StartS=f I
Word=, Pos=, PPos=NNPS StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=target Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=Sir Pos=NNP PPos=IN StartS=f I
Word=James Pos=NNP PPos=NNP StartS=f I
Word=Goldsmith Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=# Pos=# PPos=POS StartS=f I
Word=13.4 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=bid Pos=NN PPos=CD StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=The Pos=DT StartS=t I
Word=company Pos=NN PPos=DT StartS=f I
Word=gained Pos=VBD PPos=NN StartS=f O
Word=shareholder Pos=NN PPos=VBD StartS=f I
Word=approval Pos=NN PPos=NN StartS=f I
Word=Thursday Pos=NNP PPos=NN StartS=f B
Word=to Pos=TO PPos=NNP StartS=f O
Word=restructure Pos=VB PPos=TO StartS=f O
Word=in Pos=IN PPos=VB StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=bid Pos=NN PPos=DT StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=fend Pos=VB PPos=TO StartS=f O
Word=off Pos=IN PPos=VB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=hostile Pos=JJ PPos=DT StartS=f I
Word=takeover Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Sir Pos=NNP StartS=t I
Word=James Pos=NNP PPos=NNP StartS=f I
Word=said Pos=VBD PPos=NNP StartS=f O
Word=Thursday Pos=NNP PPos=VBD StartS=f I
Word=night Pos=NN PPos=NNP StartS=f I
Word=that Pos=IN PPos=NN StartS=f O
Word=his Pos=PRP$ PPos=IN StartS=f I
Word=plans Pos=NNS PPos=PRP$ StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=takeover Pos=NN PPos=DT StartS=f I
Word=had Pos=VBD PPos=NN StartS=f O
Word=n't Pos=RB PPos=VBD StartS=f O
Word=changed Pos=VBN PPos=RB StartS=f O
Word=. Pos=. PPos=VBN StartS=f O

Word=B.A.T Pos=NNP StartS=t I
Word=ended Pos=VBD PPos=NNP StartS=f O
Word=the Pos=DT PPos=VBD StartS=f I
Word=day Pos=NN PPos=DT StartS=f I
Word=at Pos=IN PPos=NN StartS=f O
Word=778 Pos=CD PPos=IN StartS=f I
Word=, Pos=, PPos=CD StartS=f O
Word=down Pos=JJ PPos=, StartS=f O
Word=5 Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=on Pos=IN PPos=, StartS=f O
Word=turnover Pos=NN PPos=IN StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=7.5 Pos=CD PPos=IN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Dealers Pos=NNS StartS=t I
Word=said Pos=VBD PPos=NNS StartS=f O
Word=it Pos=PRP PPos=VBD StartS=f I
Word=was Pos=VBD PPos=PRP StartS=f O
Word=hit Pos=VBN PPos=VBD StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=some Pos=DT PPos=IN StartS=f I
Word=profit-taking Pos=NN PPos=DT StartS=f I
Word=after Pos=IN PPos=NN StartS=f O
Word=gains Pos=NNS PPos=IN StartS=f I
Word=since Pos=IN PPos=NNS StartS=f O
Word=mid-week Pos=NN PPos=IN StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=In Pos=IN StartS=t O
Word=other Pos=JJ PPos=IN StartS=f I
Word=active Pos=JJ PPos=JJ StartS=f I
Word=shares Pos=NNS PPos=JJ StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=Trusthouse Pos=NNP PPos=, StartS=f I
Word=Forte Pos=NNP PPos=NNP StartS=f I
Word=shed Pos=VB PPos=NNP StartS=f O
Word=10 Pos=CD PPos=VB StartS=f I
Word=to Pos=TO PPos=CD StartS=f O
Word=294 Pos=CD PPos=TO StartS=f I
Word=on Pos=IN PPos=CD StartS=f O
Word=volume Pos=NN PPos=IN StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=6.4 Pos=CD PPos=IN StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=shares Pos=NNS PPos=CD StartS=f I
Word=after Pos=IN PPos=NNS StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=Barclays Pos=NNP PPos=DT StartS=f I
Word=De Pos=NNP PPos=NNP StartS=f I
Word=Zoete Pos=NNP PPos=NNP StartS=f I
Word=Wedd Pos=NNP PPos=NNP StartS=f I
Word=downgrading Pos=NN PPos=NNP StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=while Pos=IN PPos=, StartS=f O
Word=Hillsdown Pos=NNP PPos=IN StartS=f I
Word=Holdings Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=a Pos=DT PPos=, StartS=f I
Word=food Pos=NN PPos=DT StartS=f I
Word=products Pos=NNS PPos=NN StartS=f I
Word=concern Pos=VBP PPos=NNS StartS=f I
Word=, Pos=, PPos=VBP StartS=f O
Word=was Pos=VBD PPos=, StartS=f O
Word=boosted Pos=VBN PPos=VBD StartS=f O
Word=2 Pos=CD PPos=VBN StartS=f I
Word=to Pos=TO PPos=CD StartS=f O
Word=271 Pos=CD PPos=TO StartS=f I
Word=after Pos=IN PPos=CD StartS=f O
Word=it Pos=PRP PPos=IN StartS=f I
Word=disclosed Pos=VBD PPos=PRP StartS=f O
Word=it Pos=PRP PPos=VBD StartS=f I
Word=would Pos=MD PPos=PRP StartS=f O
Word=seek Pos=VB PPos=MD StartS=f O
Word=shareholder Pos=NN PPos=VB StartS=f I
Word=approval Pos=NN PPos=NN StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=begin Pos=VB PPos=TO StartS=f O
Word=share Pos=NN PPos=VB StartS=f I
Word=repurchases Pos=NNS PPos=NN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Elsewhere Pos=RB StartS=t O
Word=in Pos=IN PPos=RB StartS=f O
Word=Europe Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=share Pos=NN PPos=, StartS=f I
Word=prices Pos=NNS PPos=NN StartS=f I
Word=closed Pos=VBD PPos=NNS StartS=f O
Word=higher Pos=JJR PPos=VBD StartS=f O
Word=in Pos=IN PPos=JJR StartS=f O
Word=Stockholm Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f I
Word=Brussels Pos=NNP PPos=, StartS=f I
Word=and Pos=CC PPos=NNP StartS=f I
Word=Milan Pos=NNP PPos=CC StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=Prices Pos=NNS StartS=t I
Word=were Pos=VBD PPos=NNS StartS=f O
Word=lower Pos=JJR PPos=VBD StartS=f O
Word=in Pos=IN PPos=JJR StartS=f O
Word=Frankfurt Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f I
Word=Zurich Pos=NNP PPos=, StartS=f I
Word=, Pos=, PPos=NNP StartS=f I
Word=Paris Pos=NNP PPos=, StartS=f I
Word=and Pos=CC PPos=NNP StartS=f I
Word=Amsterdam Pos=NNP PPos=CC StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=South Pos=JJ StartS=t I
Word=African Pos=JJ PPos=JJ StartS=f I
Word=gold Pos=NN PPos=JJ StartS=f I
Word=stocks Pos=NNS PPos=NN StartS=f I
